age_upon_outcome,animal_id_outcome,outcome_subtype,outcome_type,sex_upon_outcome,age_upon_outcome_(days),outcome_datetime,outcome_month,outcome_year,outcome_monthyear,dob_year,dob_month,dob_monthyear,age_upon_intake,animal_id_intake,animal_type,breed,color,found_location,intake_condition,intake_type,sex_upon_intake,count,age_upon_intake_(days),age_upon_intake_(years),intake_datetime,intake_month,intake_year,intake_monthyear,intake_number,time_in_shelter,time_in_shelter_days
4 years,A766012,N/A,Rto-Adopt,Intact Male,1460,2018-02-13 18:12:00,2,2018,2018-02,2014,1,2018-02,4 years,A766012,Dog,Rottweiler Mix,Black/Brown,5211 N Imperial Dr in Travis (TX),Normal,Public Assist,Male - Intact,1,1460,4.0,2018-01-31 13:47:00,1,2018,2018-01,2.0,13 days 04:25:00.000000000,13.184027777777779
1 year,A766388,N/A,Rto-Adopt,Spayed Female,365,2018-02-16 16:45:00,2,2018,2018-02,2017,2,2018-02,11 months,A766388,Dog,Pit Bull Mix,Blue/White,8312 Interstate 35 North in Austin (TX),Normal,Stray,Female - Intact,1,330,0.9041095890410958,2018-02-08 11:25:00,2,2018,2018-02,1.0,8 days 05:20:00.000000000,8.222222222222221
14 years,A766539,N/A,Rto-Adopt,Spayed Female,5110,2018-02-16 15:01:00,2,2018,2018-02,2004,2,2018-02,13 years,A766539,Dog,Border Collie Mix,Tan/White,Linkview Drive And Stratuss Drive in Travis (TX),Normal,Stray,Female - Spayed,1,4745,13.0,2018-02-11 13:14:00,2,2018,2018-02,1.0,5 days 01:47:00.000000000,5.074305555555555
1 year,A766787,N/A,Rto-Adopt,Spayed Female,365,2018-02-20 17:28:00,2,2018,2018-02,2017,2,2018-02,1 year,A766787,Dog,Border Collie/Whippet,Black/White,Ring And St. Mary in Manor (TX),Normal,Stray,Female - Intact,1,365,1.0,2018-02-16 15:09:00,2,2018,2018-02,2.0,4 days 02:19:00.000000000,4.096527777777778
1 year,A766852,N/A,Rto-Adopt,Neutered Male,365,2018-02-23 16:26:00,2,2018,2018-02,2017,2,2018-02,1 year,A766852,Dog,Pit Bull Mix,White/Black,10704 Quail Valley Dr in Travis (TX),Normal,Stray,Male - Intact,1,365,1.0,2018-02-17 20:48:00,2,2018,2018-02,1.0,5 days 19:38:00.000000000,5.818055555555556
2 years,A766983,N/A,Rto-Adopt,Neutered Male,730,2018-02-28 12:42:00,2,2018,2018-02,2016,2,2018-02,2 years,A766983,Dog,German Shepherd Mix,Gray/Tricolor,Austin (TX),Normal,Owner Surrender,Male - Intact,1,730,2.0,2018-02-20 14:25:00,2,2018,2018-02,1.0,7 days 22:17:00.000000000,7.928472222222222
2 years,A767090,N/A,Rto-Adopt,Spayed Female,730,2018-03-26 13:29:00,3,2018,2018-03,2016,2,2018-03,2 years,A767090,Dog,Australian Cattle Dog Mix,Brown/White,Austin (TX),Normal,Owner Surrender,Female - Intact,1,730,2.0,2018-02-23 11:31:00,2,2018,2018-02,1.0,31 days 01:58:00.000000000,31.081944444444446
1 year,A767279,N/A,Rto-Adopt,Neutered Male,365,2018-03-04 16:45:00,3,2018,2018-03,2016,9,2018-03,1 year,A767279,Dog,Labrador Retriever/Pit Bull,Black,3303 Serene Hills in Austin (TX),Normal,Stray,Male - Intact,1,365,1.0,2018-02-26 13:33:00,2,2018,2018-02,1.0,6 days 03:12:00.000000000,6.133333333333334
2 years,A767954,N/A,Rto-Adopt,Spayed Female,730,2018-03-20 19:09:00,3,2018,2018-03,2016,3,2018-03,2 years,A767954,Dog,Pit Bull/Australian Cattle Dog,White/Tan,21121 Hogeye Road in Manor (TX),Normal,Stray,Female - Intact,1,730,2.0,2018-03-10 10:18:00,3,2018,2018-03,1.0,10 days 08:51:00.000000000,10.36875
10 years,A768323,N/A,Rto-Adopt,Neutered Male,3650,2018-03-21 15:42:00,3,2018,2018-03,2008,3,2018-03,10 years,A768323,Dog,Miniature Pinscher Mix,Black/Tan,Rosewood And Alamo in Austin (TX),Normal,Stray,Male - Neutered,1,3650,10.0,2018-03-17 11:24:00,3,2018,2018-03,1.0,4 days 04:18:00.000000000,4.179166666666666
6 years,A768559,N/A,Rto-Adopt,Spayed Female,2190,2018-03-26 16:43:00,3,2018,2018-03,2012,3,2018-03,6 years,A768559,Dog,Siberian Husky Mix,Black/White,7813 Marble Ridge Drive in Austin (TX),Normal,Stray,Female - Intact,1,2190,6.0,2018-03-21 15:01:00,3,2018,2018-03,1.0,5 days 01:42:00.000000000,5.070833333333334
1 year,A768566,N/A,Rto-Adopt,Neutered Male,365,2018-03-28 11:54:00,3,2018,2018-03,2017,3,2018-03,1 year,A768566,Dog,German Shepherd/Nova Scotia Duck Tolling Retriever,Brown/White,Austin (TX),Normal,Owner Surrender,Male - Neutered,1,365,1.0,2018-03-27 18:39:00,3,2018,2018-03,1.0,0 days 17:15:00.000000000,0.7187500000000001
9 years,A768831,N/A,Rto-Adopt,Neutered Male,3285,2018-03-29 15:36:00,3,2018,2018-03,2009,3,2018-03,8 years,A768831,Dog,Dachshund,Red,Pearl Retreat Lane And Dessau Road in Austin (TX),Normal,Stray,Male - Intact,1,2920,8.0,2018-03-25 17:08:00,3,2018,2018-03,1.0,3 days 22:28:00.000000000,3.936111111111111
1 year,A768957,N/A,Rto-Adopt,Intact Female,365,2018-04-02 14:28:00,4,2018,2018-04,2017,3,2018-04,1 year,A768957,Dog,Pit Bull Mix,Tan/White,W St Elmo in Austin (TX),Sick,Public Assist,Female - Intact,1,365,1.0,2018-03-28 07:10:00,3,2018,2018-03,1.0,5 days 07:18:00.000000000,5.304166666666666
