age_upon_outcome,animal_id_outcome,outcome_subtype,outcome_type,sex_upon_outcome,age_upon_outcome_(days),outcome_datetime,outcome_month,outcome_year,outcome_monthyear,dob_year,dob_month,dob_monthyear,age_upon_intake,animal_id_intake,animal_type,breed,color,found_location,intake_condition,intake_type,sex_upon_intake,count,age_upon_intake_(days),age_upon_intake_(years),intake_datetime,intake_month,intake_year,intake_monthyear,intake_number,time_in_shelter,time_in_shelter_days
1 year,A743311,N/A,Rto-Adopt,Spayed Female,365,2017-12-23 14:40:00,12,2017,2017-12,2016,2,2017-12,1 year,A743311,Dog,Pit Bull Mix,Blue/White,Austin (TX),Normal,Public Assist,Female - Spayed,1,365,1.0,2017-11-25 06:38:00,11,2017,2017-11,1.0,28 days 08:02:00.000000000,28.334722222222222
2 years,A744294,N/A,Rto-Adopt,Spayed Female,730,2017-03-02 17:49:00,3,2017,2017-03,2015,2,2017-03,2 years,A744294,Dog,Australian Shepherd Mix,Tricolor,7201 Rr 2222 in Austin (TX),Normal,Stray,Female - Intact,1,730,2.0,2017-02-26 13:00:00,2,2017,2017-02,1.0,4 days 04:49:00.000000000,4.200694444444444
10 months,A744567,N/A,Rto-Adopt,Neutered Male,300,2017-03-07 17:05:00,3,2017,2017-03,2016,5,2017-03,9 months,A744567,Dog,Pit Bull Mix,Black/White,Wickersham Ln & Allison Dr in Austin (TX),Normal,Stray,Male - Intact,1,270,0.7397260273972602,2017-03-03 11:16:00,3,2017,2017-03,1.0,4 days 05:49:00.000000000,4.242361111111111
1 year,A744579,N/A,Rto-Adopt,Spayed Female,365,2017-05-26 15:44:00,5,2017,2017-05,2016,3,2017-05,1 year,A744579,Dog,Black Mouth Cur Mix,Tan,Austin (TX),Normal,Owner Surrender,Female - Spayed,1,365,1.0,2017-05-20 11:23:00,5,2017,2017-05,1.0,6 days 04:21:00.000000000,6.18125
5 years,A744823,N/A,Rto-Adopt,Neutered Male,1825,2017-03-16 18:52:00,3,2017,2017-03,2012,3,2017-03,5 years,A744823,Dog,Pit Bull Mix,Blue,9815 N Lamar in Austin (TX),Normal,Stray,Male - Intact,1,1825,5.0,2017-03-08 11:29:00,3,2017,2017-03,1.0,8 days 07:23:00.000000000,8.307638888888889
2 years,A744934,N/A,Rto-Adopt,Neutered Male,730,2017-03-29 18:35:00,3,2017,2017-03,2015,3,2017-03,2 years,A744934,Dog,Labrador Retriever/Pit Bull,Chocolate,6506 Skycrest in Austin (TX),Normal,Stray,Male - Intact,1,730,2.0,2017-03-25 08:41:00,3,2017,2017-03,2.0,4 days 09:54:00.000000000,4.4125
1 year,A745071,N/A,Rto-Adopt,Neutered Male,365,2017-03-16 18:16:00,3,2017,2017-03,2016,3,2017-03,1 year,A745071,Dog,Pit Bull Mix,Brown,609 Davis St in Austin (TX),Normal,Stray,Male - Intact,1,365,1.0,2017-03-12 13:01:00,3,2017,2017-03,2.0,4 days 05:15:00.000000000,4.21875
1 year,A745658,N/A,Rto-Adopt,Neutered Male,365,2017-06-17 13:20:00,6,2017,2017-06,2016,3,2017-06,1 year,A745658,Dog,American Staffordshire Terrier Mix,Blue/Tan,Outside Jurisdiction,Normal,Owner Surrender,Male - Neutered,1,365,1.0,2017-06-12 15:31:00,6,2017,2017-06,1.0,4 days 21:49:00.000000000,4.909027777777778
10 months,A745889,N/A,Rto-Adopt,Neutered Male,300,2017-03-27 17:48:00,3,2017,2017-03,2016,5,2017-03,9 months,A745889,Dog,Rottweiler Mix,Black/Brown,Austin (TX),Normal,Owner Surrender,Male - Intact,1,270,0.7397260273972602,2017-03-25 16:40:00,3,2017,2017-03,1.0,2 days 01:08:00.000000000,2.047222222222222
2 months,A746153,N/A,Rto-Adopt,Spayed Female,60,2017-04-04 18:25:00,4,2017,2017-04,2017,1,2017-04,2 months,A746153,Dog,German Shepherd/Black Mouth Cur,Red/White,Tillery St And Manor Rd in Austin (TX),Normal,Stray,Female - Intact,1,60,0.1643835616438356,2017-03-29 13:18:00,3,2017,2017-03,3.0,6 days 05:07:00.000000000,6.2131944444444445
5 years,A746326,N/A,Rto-Adopt,Neutered Male,1825,2017-04-05 18:43:00,4,2017,2017-04,2012,3,2017-04,5 years,A746326,Dog,Chihuahua Shorthair Mix,White,1804 Holly Street in Austin (TX),Injured,Stray,Male - Intact,1,1825,5.0,2017-03-31 15:30:00,3,2017,2017-03,1.0,5 days 03:13:00.000000000,5.134027777777778
1 year,A746487,N/A,Rto-Adopt,Intact Male,365,2017-04-22 19:09:00,4,2017,2017-04,2016,4,2017-04,1 year,A746487,Dog,Pit Bull Mix,Black/White,E 7Th St & Pedernales St in Austin (TX),Normal,Stray,Male - Intact,1,365,1.0,2017-04-03 18:26:00,4,2017,2017-04,1.0,19 days 00:43:00.000000000,19.02986111111111
1 year,A746605,N/A,Rto-Adopt,Spayed Female,365,2017-04-09 18:31:00,4,2017,2017-04,2016,4,2017-04,1 year,A746605,Dog,Collie Rough/German Shepherd,Black/Tan,6510 Carson Ridge in Austin (TX),Normal,Stray,Female - Spayed,1,365,1.0,2017-04-05 15:11:00,4,2017,2017-04,2.0,4 days 03:20:00.000000000,4.138888888888889
3 years,A746625,N/A,Rto-Adopt,Intact Male,1095,2017-04-15 12:20:00,4,2017,2017-04,2014,4,2017-04,3 years,A746625,Dog,Pit Bull Mix,Blue,5001 Goodwood Drive in Austin (TX),Normal,Stray,Male - Intact,1,1095,3.0,2017-04-05 18:41:00,4,2017,2017-04,2.0,9 days 17:39:00.000000000,9.735416666666667
2 years,A747348,N/A,Rto-Adopt,Intact Male,730,2017-04-21 18:28:00,4,2017,2017-04,2015,4,2017-04,2 years,A747348,Dog,Shih Tzu Mix,Black,Pleasant Valley Rd And Nesting Way in Austin (TX),Normal,Stray,Male - Intact,1,730,2.0,2017-04-18 13:12:00,4,2017,2017-04,1.0,3 days 05:16:00.000000000,3.2194444444444446
1 year,A747387,N/A,Rto-Adopt,Neutered Male,365,2017-04-25 16:27:00,4,2017,2017-04,2015,10,2017-04,1 year,A747387,Dog,Rottweiler Mix,Black/Tan,Austin (TX),Normal,Owner Surrender,Male - Intact,1,365,1.0,2017-04-18 18:44:00,4,2017,2017-04,1.0,6 days 21:43:00.000000000,6.904861111111111
11 months,A747391,N/A,Rto-Adopt,Spayed Female,330,2017-04-23 17:48:00,4,2017,2017-04,2016,5,2017-04,10 months,A747391,Dog,Australian Cattle Dog/Labrador Retriever,White/Brown,2208 Elara Dr in Austin (TX),Normal,Stray,Female - Intact,1,300,0.821917808219178,2017-04-18 22:52:00,4,2017,2017-04,1.0,4 days 18:56:00.000000000,4.788888888888889
1 year,A747558,N/A,Rto-Adopt,Intact Male,365,2017-04-25 15:27:00,4,2017,2017-04,2016,4,2017-04,1 year,A747558,Dog,Black/Tan Hound,Black/Brown,11717 Mc Angus in Travis (TX),Normal,Stray,Male - Intact,1,365,1.0,2017-04-21 11:13:00,4,2017,2017-04,1.0,4 days 04:14:00.000000000,4.176388888888889
1 year,A747585,N/A,Rto-Adopt,Spayed Female,365,2017-04-26 17:59:00,4,2017,2017-04,2016,4,2017-04,1 year,A747585,Dog,Chihuahua Shorthair Mix,Brown/White,Mt Vernon Dr & Casey St in Austin (TX),Normal,Stray,Female - Intact,1,365,1.0,2017-04-21 16:10:00,4,2017,2017-04,1.0,5 days 01:49:00.000000000,5.075694444444444
1 year,A747652,N/A,Rto-Adopt,Neutered Male,365,2017-04-29 14:33:00,4,2017,2017-04,2016,4,2017-04,1 year,A747652,Dog,Doberman Pinsch,Black/Brown,14253 Hunters Pass in Travis (TX),Normal,Stray,Male - Intact,1,365,1.0,2017-04-22 19:03:00,4,2017,2017-04,1.0,6 days 19:30:00.000000000,6.8125
2 years,A747869,N/A,Rto-Adopt,Neutered Male,730,2017-05-03 18:13:00,5,2017,2017-05,2015,4,2017-05,2 years,A747869,Dog,Chihuahua Shorthair Mix,Brown,1200 Bonnie Brea in Austin (TX),Injured,Stray,Male - Intact,1,730,2.0,2017-04-26 08:09:00,4,2017,2017-04,1.0,7 days 10:04:00.000000000,7.419444444444444
2 years,A747907,N/A,Rto-Adopt,Spayed Female,730,2017-04-28 18:43:00,4,2017,2017-04,2014,10,2017-04,2 years,A747907,Dog,Chihuahua Shorthair Mix,White/Brown,Austin (TX),Normal,Owner Surrender,Female - Intact,1,730,2.0,2017-04-26 16:44:00,4,2017,2017-04,2.0,2 days 01:59:00.000000000,2.082638888888889
1 year,A748210,N/A,Rto-Adopt,Spayed Female,365,2017-05-04 12:47:00,5,2017,2017-05,2016,4,2017-05,1 year,A748210,Dog,Chihuahua Shorthair Mix,Tricolor,E Riverside Dr & Crossing Pl in Austin (TX),Normal,Stray,Female - Spayed,1,365,1.0,2017-04-30 17:07:00,4,2017,2017-04,1.0,3 days 19:40:00.000000000,3.8194444444444446
13 years,A748310,N/A,Rto-Adopt,Spayed Female,4745,2017-05-05 14:04:00,5,2017,2017-05,2004,5,2017-05,13 years,A748310,Dog,Boxer,Fawn/White,12704 Paloma Blanca in Austin (TX),Sick,Owner Surrender,Female - Spayed,1,4745,13.0,2017-05-01 16:45:00,5,2017,2017-05,1.0,3 days 21:19:00.000000000,3.8881944444444443
1 year,A749230,N/A,Rto-Adopt,Neutered Male,365,2017-05-16 18:42:00,5,2017,2017-05,2016,5,2017-05,1 year,A749230,Dog,Labrador Retriever Mix,Black,Pflugerville (TX),Sick,Owner Surrender,Male - Neutered,1,365,1.0,2017-05-12 12:44:00,5,2017,2017-05,2.0,4 days 05:58:00.000000000,4.248611111111111
1 year,A749369,N/A,Rto-Adopt,Neutered Male,365,2017-05-27 13:56:00,5,2017,2017-05,2016,5,2017-05,1 year,A749369,Dog,Australian Cattle Dog,Red/White,Tetbury Ln & Davis Oaks Trail in Austin (TX),Normal,Stray,Male - Intact,1,365,1.0,2017-05-14 11:09:00,5,2017,2017-05,1.0,13 days 02:47:00.000000000,13.115972222222222
2 years,A749906,N/A,Rto-Adopt,Spayed Female,730,2017-05-27 16:20:00,5,2017,2017-05,2015,5,2017-05,2 years,A749906,Dog,Chihuahua Shorthair Mix,Black/White,6003 Ponca in Austin (TX),Normal,Stray,Female - Intact,1,730,2.0,2017-05-21 12:04:00,5,2017,2017-05,1.0,6 days 04:16:00.000000000,6.177777777777778
6 months,A750083,N/A,Rto-Adopt,Neutered Male,180,2017-05-28 18:13:00,5,2017,2017-05,2016,11,2017-05,5 months,A750083,Dog,Labrador Retriever/Pit Bull,White/Black,4911 S I-H -35 in Austin (TX),Normal,Public Assist,Male - Intact,1,150,0.410958904109589,2017-05-23 12:55:00,5,2017,2017-05,1.0,5 days 05:18:00.000000000,5.220833333333333
2 years,A750810,N/A,Rto-Adopt,Spayed Female,730,2017-06-12 15:23:00,6,2017,2017-06,2015,5,2017-06,2 years,A750810,Dog,Labrador Retriever Mix,Chocolate/White,Austin (TX),Normal,Owner Surrender,Female - Spayed,1,730,2.0,2017-05-31 17:12:00,5,2017,2017-05,2.0,11 days 22:11:00.000000000,11.924305555555557
2 years,A750904,N/A,Rto-Adopt,Neutered Male,730,2017-06-08 18:04:00,6,2017,2017-06,2015,6,2017-06,2 years,A750904,Dog,Pit Bull Mix,Brown Tiger/White,7707 Ih 35 in Austin (TX),Normal,Stray,Male - Intact,1,730,2.0,2017-06-02 09:20:00,6,2017,2017-06,1.0,6 days 08:44:00.000000000,6.363888888888889
3 years,A750942,N/A,Rto-Adopt,Neutered Male,1095,2017-06-08 13:12:00,6,2017,2017-06,2014,6,2017-06,3 years,A750942,Dog,Pit Bull Mix,Brown Brindle/White,7000 Cozette Ct in Austin (TX),Normal,Stray,Male - Intact,1,1095,3.0,2017-06-02 13:12:00,6,2017,2017-06,1.0,6 days 00:00:00.000000000,6.000000000000001
8 years,A751080,N/A,Rto-Adopt,Neutered Male,2920,2017-06-19 15:15:00,6,2017,2017-06,2009,6,2017-06,8 years,A751080,Dog,Akita Mix,White/Brown,Austin (TX),Injured,Owner Surrender,Male - Intact,1,2920,8.0,2017-06-04 07:39:00,6,2017,2017-06,1.0,15 days 07:36:00.000000000,15.316666666666666
2 years,A751130,N/A,Rto-Adopt,Neutered Male,730,2017-06-08 14:08:00,6,2017,2017-06,2015,6,2017-06,2 years,A751130,Dog,Jack Russell Terrier Mix,Tan/White,W Slaughter Ln & Brodie Ln in Austin (TX),Normal,Stray,Male - Neutered,1,730,2.0,2017-06-04 13:31:00,6,2017,2017-06,1.0,4 days 00:37:00.000000000,4.0256944444444445
1 year,A752074,N/A,Rto-Adopt,Neutered Male,365,2017-09-12 18:48:00,9,2017,2017-09,2016,6,2017-09,1 year,A752074,Dog,Pit Bull Mix,Brown Brindle,Austin (TX),Normal,Owner Surrender,Male - Neutered,1,365,1.0,2017-09-10 13:54:00,9,2017,2017-09,1.0,2 days 04:54:00.000000000,2.2041666666666666
5 years,A752179,N/A,Rto-Adopt,Spayed Female,1825,2017-07-31 18:40:00,7,2017,2017-07,2012,6,2017-07,5 years,A752179,Dog,Pit Bull Mix,White/Brown,Austin (TX),Normal,Owner Surrender,Female - Spayed,1,1825,5.0,2017-06-19 13:39:00,6,2017,2017-06,1.0,42 days 05:01:00.000000000,42.20902777777778
13 years,A752679,N/A,Rto-Adopt,Neutered Male,4745,2017-08-18 13:35:00,8,2017,2017-08,2004,6,2017-08,13 years,A752679,Dog,Pit Bull Mix,Brown/White,8221 N Ih 35 in Austin (TX),Normal,Public Assist,Male - Neutered,1,4745,13.0,2017-06-25 21:13:00,6,2017,2017-06,2.0,53 days 16:22:00.000000000,53.68194444444445
7 years,A752883,N/A,Rto-Adopt,Spayed Female,2555,2017-07-10 13:18:00,7,2017,2017-07,2010,6,2017-07,7 years,A752883,Dog,Boxer Mix,Tan,Austin (TX),Normal,Owner Surrender,Female - Spayed,1,2555,7.0,2017-06-28 13:54:00,6,2017,2017-06,1.0,11 days 23:24:00.000000000,11.975000000000001
3 years,A753195,N/A,Rto-Adopt,Neutered Male,1095,2017-07-08 18:38:00,7,2017,2017-07,2014,7,2017-07,3 years,A753195,Dog,Dachshund Mix,Brown,Bolm And Highway 183 in Austin (TX),Normal,Stray,Male - Neutered,1,1095,3.0,2017-07-03 12:00:00,7,2017,2017-07,1.0,5 days 06:38:00.000000000,5.276388888888889
1 year,A753354,N/A,Rto-Adopt,Spayed Female,365,2017-07-21 19:03:00,7,2017,2017-07,2016,1,2017-07,1 year,A753354,Dog,American Bulldog Mix,White/Brown Brindle,901 Old Austin Hutto Rd in Pflugerville (TX),Normal,Stray,Female - Intact,1,365,1.0,2017-07-05 12:10:00,7,2017,2017-07,1.0,16 days 06:53:00.000000000,16.286805555555556
9 years,A753696,N/A,Rto-Adopt,Spayed Female,3285,2017-07-18 12:07:00,7,2017,2017-07,2008,7,2017-07,9 years,A753696,Dog,Pointer Mix,White/Black,12208 Mustang Drive in Travis (TX),Injured,Stray,Female - Spayed,1,3285,9.0,2017-07-10 07:19:00,7,2017,2017-07,1.0,8 days 04:48:00.000000000,8.2
2 years,A754262,N/A,Rto-Adopt,Neutered Male,730,2017-07-23 18:50:00,7,2017,2017-07,2015,7,2017-07,2 years,A754262,Dog,Labrador Retriever Mix,Black,7002 Onion Creek Dr in Austin (TX),Normal,Stray,Male - Intact,1,730,2.0,2017-07-18 11:28:00,7,2017,2017-07,2.0,5 days 07:22:00.000000000,5.3069444444444445
3 years,A754263,N/A,Rto-Adopt,Spayed Female,1095,2017-07-23 18:50:00,7,2017,2017-07,2014,7,2017-07,3 years,A754263,Dog,Siberian Husky/American Pit Bull Terrier,Blue/White,7002 Onion Creek Dr in Austin (TX),Normal,Stray,Female - Intact,1,1095,3.0,2017-07-18 11:28:00,7,2017,2017-07,2.0,5 days 07:22:00.000000000,5.3069444444444445
3 years,A754405,N/A,Rto-Adopt,Neutered Male,1095,2017-07-25 17:57:00,7,2017,2017-07,2014,7,2017-07,3 years,A754405,Dog,Pit Bull Mix,Red/White,5315 S Pleasant Valley Rd in Austin (TX),Normal,Stray,Male - Intact,1,1095,3.0,2017-07-20 12:01:00,7,2017,2017-07,1.0,5 days 05:56:00.000000000,5.247222222222222
2 years,A754617,N/A,Rto-Adopt,Intact Male,730,2017-07-30 17:00:00,7,2017,2017-07,2015,7,2017-07,2 years,A754617,Dog,Miniature Poodle Mix,White,3400 Harmon Ave in Austin (TX),Normal,Public Assist,Male - Intact,1,730,2.0,2017-07-22 12:32:00,7,2017,2017-07,1.0,8 days 04:28:00.000000000,8.186111111111112
7 years,A754845,N/A,Rto-Adopt,Spayed Female,2555,2017-08-17 16:03:00,8,2017,2017-08,2010,8,2017-08,7 years,A754845,Dog,Chow Chow Mix,Tan,7759 Johnny Morris Road in Austin (TX),Normal,Stray,Female - Spayed,1,2555,7.0,2017-08-10 11:13:00,8,2017,2017-08,2.0,7 days 04:50:00.000000000,7.201388888888889
1 year,A754935,N/A,Rto-Adopt,Neutered Male,365,2017-08-03 14:01:00,8,2017,2017-08,2016,7,2017-08,1 year,A754935,Dog,Pit Bull Mix,Brown Brindle/White,13818 Avenue I in Austin (TX),Normal,Stray,Male - Intact,1,365,1.0,2017-07-26 17:58:00,7,2017,2017-07,2.0,7 days 20:03:00.000000000,7.835416666666666
1 year,A754983,N/A,Rto-Adopt,Spayed Female,365,2017-08-01 17:10:00,8,2017,2017-08,2016,7,2017-08,1 year,A754983,Dog,Border Terrier Mix,Black,4704 Switch Willo in Austin (TX),Normal,Stray,Female - Intact,1,365,1.0,2017-07-27 14:24:00,7,2017,2017-07,1.0,5 days 02:46:00.000000000,5.115277777777778
1 year,A755197,N/A,Rto-Adopt,Neutered Male,365,2017-08-04 11:31:00,8,2017,2017-08,2016,7,2017-08,1 year,A755197,Dog,Chihuahua Shorthair Mix,Black/Tricolor,3464 Willorun Dr in Austin (TX),Normal,Stray,Male - Intact,1,365,1.0,2017-07-30 18:47:00,7,2017,2017-07,1.0,4 days 16:44:00.000000000,4.697222222222222
1 year,A755274,N/A,Rto-Adopt,Neutered Male,365,2017-09-19 12:53:00,9,2017,2017-09,2016,7,2017-09,1 year,A755274,Dog,Basset Hound Mix,Brown/White,Austin (TX),Normal,Owner Surrender,Male - Neutered,1,365,1.0,2017-09-18 12:21:00,9,2017,2017-09,3.0,1 days 00:32:00.000000000,1.0222222222222221
2 years,A755464,N/A,Rto-Adopt,Spayed Female,730,2018-01-23 15:51:00,1,2018,2018-01,2015,8,2018-01,2 years,A755464,Dog,Pit Bull Mix,Black/White,Fm 620 And Storm Lane in Austin (TX),Normal,Stray,Female - Spayed,1,730,2.0,2018-01-17 16:09:00,1,2018,2018-01,1.0,5 days 23:42:00.000000000,5.987500000000001
6 years,A756352,N/A,Rto-Adopt,Neutered Male,2190,2017-10-06 11:46:00,10,2017,2017-10,2011,1,2017-10,6 years,A756352,Dog,Pit Bull Mix,Black/White,Dove Springs And Pino in Austin (TX),Normal,Stray,Male - Intact,1,2190,6.0,2017-08-18 11:13:00,8,2017,2017-08,1.0,49 days 00:33:00.000000000,49.02291666666667
4 years,A756402,N/A,Rto-Adopt,Intact Female,1460,2017-09-06 18:03:00,9,2017,2017-09,2012,12,2017-09,4 years,A756402,Dog,Pit Bull Mix,Tan/White,1615 Crozier Ln in Austin (TX),Injured,Stray,Female - Intact,1,1460,4.0,2017-08-19 08:11:00,8,2017,2017-08,1.0,18 days 09:52:00.000000000,18.41111111111111
2 years,A756415,N/A,Rto-Adopt,Neutered Male,730,2017-08-28 18:55:00,8,2017,2017-08,2015,8,2017-08,1 year,A756415,Dog,Great Pyrenees Mix,White,Montopolis And Thrasher in Travis (TX),Normal,Stray,Male - Intact,1,365,1.0,2017-08-19 11:32:00,8,2017,2017-08,1.0,9 days 07:23:00.000000000,9.307638888888889
2 years,A756749,N/A,Rto-Adopt,Neutered Male,730,2017-08-30 17:51:00,8,2017,2017-08,2015,8,2017-08,2 years,A756749,Dog,Bloodhound,Brown/Red,10005 Parkfield in Austin (TX),Normal,Stray,Male - Intact,1,730,2.0,2017-08-24 15:33:00,8,2017,2017-08,1.0,6 days 02:18:00.000000000,6.095833333333333
6 years,A756995,N/A,Rto-Adopt,Intact Male,2190,2017-09-03 14:23:00,9,2017,2017-09,2011,8,2017-09,6 years,A756995,Dog,Chihuahua Longhair Mix,Brown/White,8901 Vigen Circle in Austin (TX),Normal,Stray,Male - Intact,1,2190,6.0,2017-08-28 17:43:00,8,2017,2017-08,1.0,5 days 20:40:00.000000000,5.861111111111112
5 months,A757073,N/A,Rto-Adopt,Intact Male,150,2017-09-04 19:46:00,9,2017,2017-09,2017,3,2017-09,5 months,A757073,Dog,English Bulldog Mix,Red/White,5201 Ross Rd in Del Valle (TX),Normal,Stray,Male - Intact,1,150,0.410958904109589,2017-08-29 15:35:00,8,2017,2017-08,1.0,6 days 04:11:00.000000000,6.174305555555556
2 years,A757376,N/A,Rto-Adopt,Spayed Female,730,2017-09-05 19:25:00,9,2017,2017-09,2015,9,2017-09,2 years,A757376,Dog,Miniature Schnauzer/Dachshund Wirehair,Silver/Cream,6807 Blue Dawn Trl in Austin (TX),Normal,Stray,Female - Intact,1,730,2.0,2017-09-01 16:49:00,9,2017,2017-09,1.0,4 days 02:36:00.000000000,4.108333333333333
2 months,A757381,N/A,Rto-Adopt,Spayed Female,60,2017-09-05 19:25:00,9,2017,2017-09,2017,6,2017-09,2 months,A757381,Dog,Miniature Schnauzer/Dachshund Wirehair,Cream,6807 Blue Dawn Trl in Austin (TX),Normal,Stray,Female - Intact,1,60,0.1643835616438356,2017-09-01 16:49:00,9,2017,2017-09,1.0,4 days 02:36:00.000000000,4.108333333333333
1 year,A757386,N/A,Rto-Adopt,Spayed Female,365,2017-09-05 19:25:00,9,2017,2017-09,2016,9,2017-09,1 year,A757386,Dog,Miniature Schnauzer/Dachshund Wirehair,Brown Brindle,6807 Blue Dawn Trl in Austin (TX),Normal,Stray,Female - Intact,1,365,1.0,2017-09-01 16:49:00,9,2017,2017-09,1.0,4 days 02:36:00.000000000,4.108333333333333
6 months,A757584,N/A,Rto-Adopt,Spayed Female,180,2017-09-09 14:12:00,9,2017,2017-09,2017,3,2017-09,6 months,A757584,Dog,Labrador Retriever Mix,Tan/White,Austin (TX),Normal,Owner Surrender,Female - Intact,1,180,0.4931506849315068,2017-09-04 11:59:00,9,2017,2017-09,1.0,5 days 02:13:00.000000000,5.092361111111111
1 year,A758055,N/A,Rto-Adopt,Spayed Female,365,2017-12-26 17:22:00,12,2017,2017-12,2016,1,2017-12,1 year,A758055,Dog,Labrador Retriever Mix,Black,183 And Manor Rd in Austin (TX),Normal,Stray,Female - Spayed,1,365,1.0,2017-12-19 14:20:00,12,2017,2017-12,1.0,7 days 03:02:00.000000000,7.126388888888889
2 years,A758337,N/A,Rto-Adopt,Spayed Female,730,2017-09-21 17:25:00,9,2017,2017-09,2015,9,2017-09,2 years,A758337,Dog,Staffordshire Mix,White/Black,Cameron Road And Highway 290 in Austin (TX),Normal,Stray,Female - Intact,1,730,2.0,2017-09-14 15:17:00,9,2017,2017-09,1.0,7 days 02:08:00.000000000,7.088888888888889
2 years,A758346,N/A,Rto-Adopt,Spayed Female,730,2017-09-30 13:20:00,9,2017,2017-09,2015,9,2017-09,2 years,A758346,Dog,Pointer Mix,Liver/White,Austin (TX),Normal,Public Assist,Female - Spayed,1,730,2.0,2017-09-15 11:08:00,9,2017,2017-09,1.0,15 days 02:12:00.000000000,15.091666666666667
2 years,A759097,N/A,Rto-Adopt,Intact Male,730,2017-10-24 19:29:00,10,2017,2017-10,2015,3,2017-10,2 years,A759097,Dog,Pit Bull Mix,Buff/White,Austin (TX),Normal,Owner Surrender,Male - Intact,1,730,2.0,2017-10-07 08:00:00,10,2017,2017-10,2.0,17 days 11:29:00.000000000,17.478472222222223
1 year,A759111,N/A,Rto-Adopt,Neutered Male,365,2017-09-29 17:17:00,9,2017,2017-09,2016,5,2017-09,1 year,A759111,Dog,Chihuahua Shorthair Mix,Tan/Tan,Austin (TX),Normal,Owner Surrender,Male - Intact,1,365,1.0,2017-09-27 11:47:00,9,2017,2017-09,1.0,2 days 05:30:00.000000000,2.2291666666666665
4 months,A759417,N/A,Rto-Adopt,Neutered Male,120,2017-10-12 18:48:00,10,2017,2017-10,2017,6,2017-10,3 months,A759417,Dog,Labrador Retriever Mix,Black/White,Ingrid And Hogeye in Manor (TX),Normal,Stray,Male - Intact,1,90,0.2465753424657534,2017-10-01 16:25:00,10,2017,2017-10,1.0,11 days 02:23:00.000000000,11.099305555555556
1 year,A759531,N/A,Rto-Adopt,Neutered Male,365,2017-10-09 17:27:00,10,2017,2017-10,2016,4,2017-10,1 year,A759531,Dog,Pit Bull Mix,White,Mistletoe Trail And Twin Creeks in Travis (TX),Injured,Stray,Male - Intact,1,365,1.0,2017-10-03 11:37:00,10,2017,2017-10,1.0,6 days 05:50:00.000000000,6.243055555555555
3 years,A759934,N/A,Rto-Adopt,Neutered Male,1095,2017-10-14 18:37:00,10,2017,2017-10,2014,10,2017-10,3 years,A759934,Dog,German Shepherd Mix,White/Tan,Shadowglen in Travis (TX),Normal,Stray,Male - Intact,1,1095,3.0,2017-10-09 20:43:00,10,2017,2017-10,2.0,4 days 21:54:00.000000000,4.9125
2 months,A759955,N/A,Rto-Adopt,Neutered Male,60,2017-10-15 11:18:00,10,2017,2017-10,2017,8,2017-10,1 month,A759955,Dog,Rat Terrier Mix,Tan/White,Northgate Boulevard And Rundberg Lane in Austin (TX),Normal,Stray,Male - Intact,1,30,0.0821917808219178,2017-10-10 12:25:00,10,2017,2017-10,1.0,4 days 22:53:00.000000000,4.9534722222222225
6 years,A760882,N/A,Rto-Adopt,Spayed Female,2190,2017-12-17 17:17:00,12,2017,2017-12,2011,12,2017-12,5 years,A760882,Dog,Pit Bull Mix,Fawn/White,183 And Mc Neil in Travis (TX),Normal,Stray,Female - Spayed,1,1825,5.0,2017-10-25 13:09:00,10,2017,2017-10,1.0,53 days 04:08:00.000000000,53.172222222222224
9 months,A760960,N/A,Rto-Adopt,Spayed Female,270,2017-12-11 11:39:00,11,2017,2017-11,2017,1,2017-11,10 months,A760960,Dog,Pit Bull Mix,Brown/Black Brindle,4500 E Oltorf in Austin (TX),Normal,Stray,Female - Spayed,1,300,0.821917808219178,2017-11-15 17:51:00,12,2017,2017-12,1.0,25 days 17:48:00.000000000,25.741666666666667
3 months,A761359,N/A,Rto-Adopt,Spayed Female,90,2017-11-07 17:58:00,11,2017,2017-11,2017,8,2017-11,3 months,A761359,Dog,Chihuahua Shorthair Mix,Tan,7000 Decker Lane in Austin (TX),Normal,Stray,Female - Intact,1,90,0.2465753424657534,2017-11-03 11:44:00,11,2017,2017-11,1.0,4 days 06:14:00.000000000,4.259722222222222
1 year,A761901,N/A,Rto-Adopt,Spayed Female,365,2017-11-20 18:10:00,11,2017,2017-11,2016,11,2017-11,1 year,A761901,Dog,Labrador Retriever Mix,White/Brown,Austin (TX),Normal,Stray,Female - Intact,1,365,1.0,2017-11-11 12:42:00,11,2017,2017-11,1.0,9 days 05:28:00.000000000,9.227777777777778
